Org;Type_Org;Date_demande;Type_data;Data_pairing;Title;Technical_instruction;Decision;Date_Decision;Status;Inclusion;Exclusion_reason;Specialty;Study_design;Disease or event
CHU de Rennes;CHU;20111217;Extraction d'un ‚chantillon;Oui;"Impact ‚conomique de deux strat‚gies de prise en charge de pouss‚es de Scl‚rose En Plaques dans le cadre de l'‚tude ""COPOUSEP""";Termin‚e;Approbation;20120201;IDS;1;;Neurology;Economics;Multiple sclerosis
Centre R‚gional de Pharmacovigilance du CHU de Montpellier;CHU;20111217;Extraction d'un ‚chantillon;Non;Efficacit‚ clinique et rapport b‚n‚fice-risque de la pioglitazone : ‚tude de faisabilit‚ utilisant les donn‚es du SNIIRAM;Termin‚e;Approbation;20120314;IDS;1;;Endocrinology;Pharmacoepidemiology;Diabetes
Hospices Civils de Lyon;CHU;20111219;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude de faisabilit‚ de l'‚tude observationnelle quantifiant en vie r‚elle l'apport du SINGULAIR© 4 mg chez le nourrisson ƒg‚ de 6 … 24 mois … partir des donn‚es de l'Echantillon G‚n‚raliste de B‚n‚ficiaires du SNIIRAM;Termin‚e;Approbation;20120204;IDS;1;;Pediatry;Pharmacoepidemiology;NA
ORS de Bourgogne;ORS;20111229;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Actualisation d'indicateurs afin de contribuer au suivi de la politique r‚gionale en Bourgogne;Termin‚e;Approbation;20120125;IDS;1;;Public health;Descriptive;NA
INSERM - Unit‚ 897;INSERM;20120125;Extraction d'un ‚chantillon;Oui;Sant‚ et ins‚curit‚ routiŠre : influence de la consommation de m‚dicaments - Etude CESIR-A II;Termin‚e;Approbation;20120201;IDS;1;;General Medicine;Longitudinal study;NA
INSERM - Unit‚ 1027;INSERM;20120201;Extraction d'un ‚chantillon;Non;Etude … long terme de l'‚volution des patients souffrant de Purpura Thrombop‚nique Immun (PTI) primaire de l'adulte par analyse des donn‚es du SNIIRAM (Etude FAITH);Termin‚e;Approbation;20120314;IDS;1;;Internal Medicine;Longitudinal study;Idiopathic thrombocytopenic purpura
CHU de Limoges;CHU;20120224;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Polym‚dication des personnes ƒg‚es en France : ‚tudes sur la qualit‚ des prescriptions et l'observance des m‚dicaments;Termin‚e;Approbation;20120228;IDS;1;;Geriatry;Pharmacoepidemiology;NA
ORS d'Aquitaine;ORS;20120410;Tb de bord, donn‚es agr‚g‚es, EGB;Non;D‚veloppements d'indicateurs pertinents pour suivre l'‚tat de sant‚ des Aquitains;Termin‚e;Approbation;20120423;IDS;1;;Public health;Descriptive;NA
Hospices Civils de Lyon;CHU;20120427;Extraction d'un ‚chantillon;Non;Etude observationnelle quantifiant en vie r‚elle l'apport de SINGULAIR© 4 mg chez le nourrisson ƒg‚ de 6 … 24 mois … partir des donn‚es du SNIIRAM;Termin‚e;Approbation;20120509;IDS;1;;Pediatry;Pharmacoepidemiology;NA
Institut  des Donn‚es de Sant‚;Autres;20120524;Extraction d'un ‚chantillon;Non;Tableaux de bord Radioth‚rapie INCa;Termin‚e;Approbation;20120606;IDS;1;;Public health;Descriptive;Nuclear threads
Facult‚ de m‚decine de Cr‚teil;Autres;20120427;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude de la prise en charge du co–t de la Broncho-Pneumopathie Chronique Obstructive (BPCO) s‚vŠre;Termin‚e;Approbation;20120619;IDS;1;;Pneumology;Economics;COPD
IFSTTAR;Autres;20120620;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude des r‚percussions financiŠres des accidents de la route sur les victimes bless‚es;Termin‚e;Approbation;20120628;IDS;1;;Public health;Economics;Traffic accident
F‚d‚ration R‚gionale de Recherche en Sant‚ Mentale du Nord-Pas-de-Calais (F2RSM);Autres;20120628;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Le recours aux m‚dicaments psychotropes et aux soins en sant‚ mentale : une comparaison Nord-Pas-de-Calais / France;Termin‚e;Approbation;20120706;IDS;1;;Psychiatry;Pharmacoepidemiology;NA
CHU de Dijon;CHU;20120711;Extraction d'un ‚chantillon;Oui;Evaluation des parcours de soins des patients atteint d?un AVC en r‚gion Bourgogne;Termin‚e;Approbation;20120914;IDS;1;;Neurology;Longitudinal study;Stroke
INSERM - Unit‚ 1018;INSERM;20121019;Extraction d'un ‚chantillon;Oui;Constitution d?une cohorte nationale r‚trospective de survivants d?un cancer solide chez l?enfant diagnostiqu‚ avant 2000 (FCCSS : French Childhood Cancer Survivor Study);Hors champ;Hors champ;;IDS;0;Not approuved;;;
Soci‚t‚ Fran‡aise de Chirurgie Orthop‚dique et Traumatologique;Autres;20121004;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude du taux de survie des prothŠses unicompartimentales de genou;Termin‚e;Approbation;20121005;IDS;1;;Orthopedy;Longitudinal study;Medical devices
ORS Ile de France;ORS;20121011;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Consommation de soins en France;Termin‚e;Approbation;20121023;IDS;1;;Public health;Descriptive;NA
EHESP;Ecole;20121017;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Disparit‚s socio-territoriales des itin‚raires de soins des femmes enceintes;Termin‚e;Approbation;20121105;IDS;1;;Gynecology;Descriptive;Pregnancy
INSERM - Unit‚ 1027;INSERM;20121112;Extraction d'un ‚chantillon;Non;Maladie d'Alzheimer et Syndr“mes Apparent‚s (MA/SA) en France : ‚valuation et suivi des pratiques de prise en charge m‚dicamenteuse et non m‚dicamenteuse;Termin‚e;Approbation;20130319;IDS;1;;Neurology;Longitudinal study;Alzheimer's disease
RIFHOP-PALIPED;Autres;20121213;Extraction d'un ‚chantillon;Oui;Etude du parcours en soins palliatifs des enfants d‚c‚d‚s de maladie en Ile de France;Termin‚e;Approbation;20140204;IDS;1;;Pediatry;Longitudinal study;Palliative care
APHM;CHU;20121203;Extraction d'un ‚chantillon;Oui;"Evaluation d'un essai d'intervention randomis‚ comparant deux strat‚gies de prise en charge de personnes sans chez soi vivant avec une pathologie mentale s‚vŠre - Programme ""un chez soi d'abord""";Hors champ;Hors champ;;IDS;0;Not approuved;;;
CHU de la R‚union;CHU;20121210;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Utilisation des modŠles de surveillance ‚pid‚miologique dans les bases de donn‚es de sant‚ : un outil de sant‚ publique pour la surveillance continue des ‚vŠnements ind‚sirables m‚dicamenteux ? A propos du dabigatran - Projet DABI-SURV;Termin‚e;Approbation;20121214;IDS;1;;Methods;Pharmacoepidemiology;NA
Fondation Transplantation;Autres;20130107;Extraction d'un ‚chantillon;Non;Xarelto© en conditions r‚elles d?utilisation dans la pr‚vention des ‚vŠnements thromboemboliques aprŠs chirurgie orthop‚dique majeure ?  (Etude ERiThrEA);Termin‚e;Approbation;20130514;IDS;1;;Orthopedy;Pharmacoepidemiology;Thrombosis
ORS Rh“ne-Alpes;ORS;20130110;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Rapport sur l?Ambroisie en r‚gion de Rh“ne-Alpes;Termin‚e;Approbation;20130116;IDS;1;;General Medicine;Transversal study;Toxicology
EHESP;Ecole;20130131;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Utilisation des psychotropes chez les enfants et adolescents de moins de 18 ans en France;Termin‚e;Approbation;20130319;IDS;1;;Psychiatry;Pharmacoepidemiology;NA
ORS Poitou-Charentes;ORS;20130131;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Bulletins d'observation en sant‚;Termin‚e;Approbation;20130218;IDS;1;;Public health;Descriptive;NA
Centre R‚gional de Pharmacovigilance du CHU de Montpellier;CHU;20130207;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Efficacit‚ clinique et rapport b‚n‚fice-risque de la pioglitazone : ‚tude de faisabilit‚ utilisant les donn‚es du SNIIRAM;Termin‚e;Approbation;20130218;IDS;1;;Endocrinology;Pharmacoepidemiology;Diabetes
IAU Ile de France;ORS;20130211;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Consommation de soins en France;Termin‚e;Approbation;20130218;IDS;1;;Public health;Descriptive;NA
IFSTTAR;Autres;20130306;Extraction d'un ‚chantillon;Non;Etude des r‚percussions financiŠres des accidents de la route sur les victimes bless‚es;Termin‚e;Approbation;20140415;IDS;1;;General Medicine;Economics;Traffic accident
H“pital Broca - APHP;CHU;20130417;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Comparaison des consommations de soins et services de sant‚ et prescriptions m‚dicamenteuses chez les sujets trait‚s par antid‚mentiel;Termin‚e;Approbation;20130506;IDS;1;;Geriatry;Longitudinal study;Dementia
INSERM;INSERM;20130404;Extraction d'un ‚chantillon;Non;Pr‚vention de l'Ost‚oporose aprŠs fracture du Poignet (POP): ‚valuation du d‚pistage de l'ost‚oporose aprŠs fracture du poignet chez les femmes de plus de 50 ans en r‚gion Centre;Termin‚e;Approbation;20130514;IDS;1;;General Medicine;Longitudinal study;Osteoporosis
Fondation Transplantation;Autres;20130429;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Usage du M‚thylph‚nidate en France;Termin‚e;Approbation;20140204;IDS;1;;Psychiatry;Pharmacoepidemiology;ADHD
Hospices Civils de Lyon;CHU;20130507;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Apport des bases de donn‚es de remboursement de la CNAMTS … l'‚tude des parcours de soins et de la consommation de soins m‚dicaux - Application … trois domaines th‚rapeutiques majeurs : asthme, maladie de Parkinson, ost‚oporose;Termin‚e;Approbation;20130611;IDS;1;;Methods;Longitudinal study;Asthma, Parkinson's disease, osteoporosis
H“pital Saint-Louis;CHU;20130531;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Mod‚lisation du parcours de soins en uro-g‚riatrie en prenant l'exemple de la cystectomie;Termin‚e;Approbation;20130628;IDS;1;;Urology;Longitudinal study;Geriatry
"Association ""Mieux Prescrire""";Autres;20130617;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude sur l'‚volution de la dispensation en ambulatoire de m‚dicaments plus dangereux qu'utiles identifi‚s par la Revue Prescrire et d'anticoagulants oraux;Termin‚e;Approbation;20130624;IDS;1;;Public health;Pharmacoepidemiology;NA
Hospices Civils de Lyon - P“le IMER;CHU;20130715;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude sur l'initiation d'un traitement anti-ost‚oporotique aprŠs fracture de l'avant-bras ou de l'hum‚rus chez la femme de plus de 50 ans - INIFRA;Termin‚e;Approbation;20130719;IDS;1;;Orthopedy;Pharmarcoepidemiology;Osteoporosis
INC;Autres;20130916;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Demande d?accŠs aux tableaux de bord, donn‚es agr‚g‚es du SNIIRAM pour l?exercice de ses missions;Termin‚e;Autres;20131126;IDS;1;;Public health;Descriptive;NA
GENES;Ecole;20131009;Tb de bord, donn‚es agr‚g‚es, EGB;Non;L'environnement concurrentiel des m‚decins influence-t-il leur comportement de prescription ?;Termin‚e;Approbation;20131126;IDS;1;;Public health;Economics;NA
Hospices Civils de Lyon;CHU;20131029;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Impact de l'utilisation des AllergŠnes Pr‚par‚s Sp‚cialement pour un seul Individu (APSIs) sur la consommation de soins des patients atteints de rhinite allergique;Termin‚e;Approbation;20131126;IDS;1;;Immunology;Pharmacoepidemiology;NA
CHU de Montpellier;CHU;20131115;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Analyse du lien entre prise d'anticoagulants ou d'antiagr‚gant plaquettaire et complication h‚morragique aprŠs chirurgie abdominale en France en 2012;Termin‚e;Approbation;20140204;IDS;1;;Digestive surgery;Pharmacoepidemiology;NA
Facult‚ de m‚decine de Cr‚teil;Autres;20140121;Extraction d'un ‚chantillon;Non;Evaluation des effets secondaires osseux et cardiovasculaires de l'hormonoth‚rapie chez les patients ayant un cancer de la prostate non m‚tastatique : une ‚tude de cohorte … partir des donn‚es du SNIIRAM - Projet OSCAR - HOP;Termin‚e;Approbation;20140204;IDS;1;;Urology;Pharmacoepidemiology;Prostatic cancer
APHP URCECO;CHU;20131223;Extraction d'un ‚chantillon;Oui;Etude de la coop‚ration entre professionnels (consultation infirmiŠre) pour l'administration des chimioth‚rapies par voie orale;Termin‚e;Approbation;20150505;IDS;1;;Oncology;Pharmacoepidemiology;NA
CHU de Rennes;CHU;20131219;Extraction d'un ‚chantillon;Non;Androgen-Deprivation Therapy and Cardiovascular Risk: A Nationwide Population-based Cohort Study;Termin‚e;Approbation;20140204;IDS;1;;Urology;Pharmacoepidemiology;Cardiovascular risk
ORS des Pays de la Loire;ORS;20140109;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Conception d'indicateurs de consommation de soins;Termin‚e;Approbation;20140204;IDS;1;;Public health;Descriptive;NA
Universit‚ de Versailles - Facult‚ des sciences de la sant‚ - ;Autres;20140115;Extraction d'un ‚chantillon;Non;In‚galit‚s sociales et territoriales de la vaccination HPV;Termin‚e;Approbation;20140610;IDS;1;;Public health;Longitudinal study;HPV vaccin
Universit‚ de Versailles - Facult‚ des sciences de la sant‚ - ;Autres;20140115;Tb de bord, donn‚es agr‚g‚es, EGB;Non;In‚galit‚s sociales et territoriales de la vaccination HPV;Termin‚e;Approbation;20140204;IDS;1;;Public health;Longitudinal study;HPV vaccin
CNAM;Autres;20140120;Extraction d'un ‚chantillon;Non;Identification de d‚serts m‚dicaux en France m‚tropolitaine;Termin‚e;Approbation;20141125;IDS;1;;Public health;Descriptive;NA
INSERM;INSERM;20140123;Extraction d'un ‚chantillon;Non;Changement d‚mographique et ‚volution de la consommation de soins des patients, adultes et enfants, avec cardiopathies cong‚nitales en France entre 2006 et 2021;En cours;Demande de compl‚ments;20140610;IDS;1;;Cardiology;Longitudinal study;Congenital cardiopathy
INSERM CIC 1401;INSERM;20140206;Extraction d'un ‚chantillon;Non;Pr‚vention secondaire des ‚vŠnements coronariens aigus avec des antiagr‚gants plaquettaires : ‚tude de cohorte … partir de la base de donn‚es du SNIIRAM - Projet SPACE AA;Termin‚e;Approbation;20140415;IDS;1;;Cardiology;Pharmacoepidemiology;Myocardial infarction
Hospices Civils de Lyon;CHU;20140428;Extraction d'un ‚chantillon;Non;Etude de suivi exhaustive : Stenting de la bifurcation carotidienne;Termin‚e;Approbation;20140513;IDS;1;;Cardiology;Longitudinal study;Vascular disease
INSERM;INSERM;20140509;Extraction d'un ‚chantillon;Non;B‚n‚fice-risque des m‚dicaments et des strat‚gies de prise en charge du my‚lome multiple en conditions r‚elles : Constitution d'un suivi de cohorte … partir du SNIIRAM;Termin‚e;Approbation;20150310;IDS;1;;Haemotology;Longitudinal study;Multiple myeloma
INSERM;INSERM;20140509;Extraction d'un ‚chantillon;Non;Consommation d?indemnit‚s journaliŠres et ses d‚terminants chez les patients atteints de Leuc‚mie My‚lo‹de Chronique et trait‚s par inhibiteurs de tyrosine-kinase;Termin‚e;Approbation;20150310;IDS;1;;Haemotology;Longitudinal study;Chronic myeloid leukemia
INSERM UMRS 1123;INSERM;20140509;Extraction d'un ‚chantillon;Non;Evaluation ‚conomique de la prise en charge des patients atteints d?un cancer du rein m‚tastatique ou d?un m‚lanome m‚tastatique : Impact de l?utilisation des donn‚es de comparaisons directe et indirecte sur l?‚valuation m‚dico-‚conomique du m‚dicament;Termin‚e;Approbation;20140610;IDS;1;;Urology;Pharmacoeconomics;Kidney malign tumor and metastasis melanoma
INSERM CIC 9502;INSERM;20140509;Extraction d'un ‚chantillon;Non;Consommation de triptans et ‚vŠnements cardiovasculaires s‚vŠres chez les personnes ƒg‚es de plus de 65 ans ? Etude TRUE (TRiptan Use ans srious vascular event in Elderly);Termin‚e;Approbation;20140610;IDS;1;;Geriatry;Pharmacopidemiology;NA
